SOURCE_IMAGE,LABEL,TRACK_ID,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Source Image,Label,Track ID,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Source Image,Label,Track ID,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,TIME,TIME,TIME,LENGTH,POSITION,POSITION,POSITION,VELOCITY,VELOCITY,VELOCITY,VELOCITY,VELOCITY,QUALITY,LENGTH,LENGTH,NONE,VELOCITY,NONE,ANGLE_RATE
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_6,6,1.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,45001.812744140625,12600.507568359375,57602.3203125,74.95297463759161,229.5657345281498,59.812466383991605,0.0,0.004529382922535991,0.013927092348990821,0.0,0.0039495266564167865,0.0038894331462014215,1956.1153846153845,203.83044212647312,83.16404290733361,0.36772218053221234,0.0016655545647402997,0.36772218053221245,8.63282930097443E-4
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_13,13,2.0,13.0,21.0,2.0,0.0,0.0,0.0,1.0,39601.59521484375,0.0,39601.59521484375,10.936064635716106,19.462817795834457,73.18880996854985,0.0,0.0036958627863257604,0.012634639143024137,4.990771455137893E-4,0.0022319397307999276,0.00352802614973191,1371.6666666666667,139.24601878999366,23.81234628008822,0.0785377185699616,2.761521240845614E-4,0.07471925773497069,9.759047578204666E-4
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_14,14,3.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,46801.88525390625,9000.362548828125,55802.247802734375,205.98708473829788,143.0311247986132,66.60575275092731,0.0,0.007142603791876532,0.030170426108049504,3.15643940182794E-4,0.005370563636280772,0.007608593137172831,1154.8148148148148,334.28732308152115,231.80659503993118,0.6161977153051201,0.004401256137884007,0.6161977153051201,7.570924056600143E-4
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_27,27,4.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,57602.3203125,0.0,57602.3203125,82.49848104453741,138.12006973911363,61.05231605631216,0.0,0.003510773134379191,0.024151607320142134,2.308767649898614E-4,0.0018015868334492848,0.005472308518544084,2534.969696969697,202.22867863102977,90.60518799800506,0.40794649702012603,0.0014322076020023592,0.40794649702012603,0.001057269359241399
20251017_20251017_Position008_20251017_20251017_Position008_corrected_xyz,Track_29,29,5.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,23400.942626953125,34201.377685546875,57602.3203125,84.06944881935358,57.91291413702068,73.53163218407698,0.0,0.004043094750821542,0.008140417735363937,7.552793259262685E-4,0.0043512689274411735,0.0020241206395578168,3611.4285714285716,94.61222829931025,84.06944881935358,0.8885685321076671,0.0035925667679097117,0.8885685321076672,3.1385686736918624E-4
20251017_20251017_Position009_20251017_20251017_Position009_corrected_xyz,Track_0,0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,30601.232666015625,0.0,30601.232666015625,175.95904055077364,104.75810895679555,43.143765252173516,0.0,0.009694713710569104,0.03976576978290259,0.0013391642037068132,0.005791547395581283,0.01014124995369526,1216.0,296.67018988753676,175.95904055077364,0.5931133175782747,0.005750063811847225,0.5931133175782746,6.240345933775653E-4
20251017_20251017_Position009_20251017_20251017_Position009_corrected_xyz,Track_3,3,1.0,3.0,9.0,1.0,0.0,0.0,0.0,4.0,21600.8701171875,0.0,21600.8701171875,35.7839401440177,132.30396721656277,23.585644278516558,0.0,0.004394971433744504,0.012219313741403778,6.974158269364781E-4,0.005241759584341924,0.00393726288771475,929.6666666666666,68.31173430448484,37.36633621418175,0.5238329916280341,0.0016565971625163809,0.3769301319678805,6.645271636036233E-4
20251017_20251017_Position009_20251017_20251017_Position009_corrected_xyz,Track_13,13,2.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,57602.3203125,0.0,57602.3203125,21.66438440629493,69.82136416128492,97.7791663492616,0.0,0.005400371528727541,0.015927530072892358,3.12919255060585E-4,0.004414743044653989,0.0035164995192779745,4388.333333333333,311.073930604269,48.44433305330777,0.06964384435626385,3.7610263421269935E-4,0.06964384435626382,7.902635270384252E-4
20251017_20251017_Position009_20251017_20251017_Position009_corrected_xyz,Track_14,14,3.0,14.0,13.0,1.0,0.0,0.0,0.0,1.0,23400.942626953125,0.0,23400.942626953125,8.139882840025319,16.40143243657439,85.8161266898681,0.0,0.0019148217987416567,0.0068581087169786335,0.0,0.0013681843658192839,0.0022147967570042906,1157.5384615384614,42.54756257005896,15.754786846160112,0.19131255348933704,3.4784422874700055E-4,0.18165879925515246,6.692579801864451E-4
20251017_20251017_Position010_20251017_20251017_Position010_corrected_xyz,Track_0,0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,41401.959716796875,0.0,41401.959716796875,19.435756170568972,135.0684209677212,75.33960890981001,0.0,0.0039393271449232005,0.020177090391758745,4.4786290540861645E-4,0.002819799511565984,0.0043485440857196946,5065.958333333333,163.0958637653948,36.74092276682873,0.11916768286978957,4.6944048792656157E-4,0.11916768286978958,8.361738431865267E-4
20251017_20251017_Position010_20251017_20251017_Position010_corrected_xyz,Track_18,18,1.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,1800.085205078125,0.0,1800.085205078125,7.392362059631945,70.99677800611067,71.34744487272138,0.0,0.004106673416779241,0.004106673416779241,0.004106673416779241,0.004106673416779241,NaN,2990.5,7.392362059631945,7.392362059631945,1.0,0.004106673416779241,1.0,NaN
20251024_20251024_Position006_20251024_20251024_Position006_corrected_xyz,Track_7,7,0.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,52800.8701171875,0.0,52800.8701171875,227.40931092543758,176.1819886995546,64.51823510395378,0.0,0.009325556531066528,0.022817585236547856,4.0893400615230784E-4,0.007851709455719919,0.007073273872679104,3655.1304347826085,492.39749916733325,227.40931092543758,0.46184091371300046,0.004306923549190003,0.46184091371300035,2.905062456161822E-4
20251024_20251024_Position006_20251024_20251024_Position006_corrected_xyz,Track_9,9,1.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,50400.83056640625,0.0,50400.83056640625,59.32483718573539,99.72526812829005,51.684039635140714,0.0,0.006681319915191819,0.015678894789251996,3.0614500026607754E-4,0.004563326971338002,0.005200571221974928,3792.6363636363635,336.74407300553867,61.85541704089714,0.17617188227321712,0.0011770607055288742,0.17617188227321715,6.66164276617755E-4
